,bookID,title,authors,quantity
120,244,The Puffin Book of Nonsense Verse,Quentin Blake,15
121,245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,23
122,247,Quiet Days in Clichy,Henry Miller,7
123,249,Tropic of Cancer,Henry Miller/Jiří Níl,15
124,250,Tropic of Capricorn,Henry Miller,19
125,251,Nexus (The Rosy Crucifixion  #3),Henry Miller,7
126,252,Sexus (The Rosy Crucifixion  #1),Henry Miller,19
127,253,The Air-Conditioned Nightmare,Henry Miller,7
128,264,The Portrait of a Lady,Henry James/Patricia Crick,15
129,269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,19
130,277,Writing,Marguerite Duras,15
131,278,The War,Marguerite Duras/Barbara Bray,7
132,280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,11
133,285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,15
134,288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,7
135,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,19
136,290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,7
137,291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,19
138,292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,19
139,295,Treasure Island,Robert Louis Stevenson,11
140,296,Treasure Island,Robert Louis Stevenson/Scott McKowen,11
141,297,Treasure Island,Robert Louis Stevenson,19
142,298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,23
143,299,Treasure Island,Robert Louis Stevenson/Milo Winter,23
144,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,7
145,313,100 Years of Lynchings,Ralph Ginzburg,15
146,324,Cien años de soledad,Gabriel García Márquez,15
147,330,On Beyond Zebra!,Dr. Seuss,15
148,332,The Wedding Clause,Debbie Raleigh,11
149,333,The Zebra Wall,Kevin Henkes,7
150,337,El perfume: Historia de un asesino,Patrick Süskind,7
151,348,The Door Into Summer,Robert A. Heinlein,23
152,350,Stranger in a Strange Land,Robert A. Heinlein,23
153,354,To Sail Beyond the Sunset,Robert A. Heinlein,23
154,355,Job: A Comedy of Justice,Robert A. Heinlein,15
155,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,11
156,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,15
157,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,19
158,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,7
159,367,Douglas Adams's Starship Titanic,Terry Jones,15
160,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,11
161,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,19
162,385,On Bullshit,Harry G. Frankfurt,7
163,386,Another Bullshit Night in Suck City,Nick Flynn,7
164,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,23
165,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,15
166,399,Underworld,Don DeLillo,19
167,400,Libra,Don DeLillo,7
168,403,Americana,Don DeLillo,19
169,404,Running Dog,Don DeLillo,15
170,406,Cosmopolis,Don DeLillo,7
171,407,Great Jones Street,Don DeLillo,7
172,408,The Names,Don DeLillo,23
173,409,Against the Day,Thomas Pynchon,15
174,410,V.,Thomas Pynchon,11
175,411,The Crying of Lot 49,Thomas Pynchon,15
176,412,Gravity's Rainbow,Thomas Pynchon,7
177,413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,7
178,414,Vineland,Thomas Pynchon,7
179,415,Gravity's Rainbow,Thomas Pynchon,15
180,416,Slow Learner: Early Stories,Thomas Pynchon,7
181,418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,23
182,420,The Year of Magical Thinking,Joan Didion,15
183,421,The White Album,Joan Didion,7
184,422,A Book of Common Prayer,Joan Didion,19
185,423,Where I Was From,Joan Didion,19
186,424,Slouching Towards Bethlehem,Joan Didion,19
187,425,Democracy,Joan Didion,19
188,426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,15
189,428,Play It As It Lays,Joan Didion/David Thomson,15
190,431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,7
191,432,City of Glass (The New York Trilogy  #1),Paul Auster,19
192,434,Ghosts (The New York Trilogy  #2),Paul Auster,19
193,435,The Locked Room (The New York Trilogy  #3),Paul Auster,15
194,444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,15
195,446,The Brooklyn Follies,Paul Auster,11
196,447,Moon Palace,Paul Auster,7
197,453,The Music of Chance,Paul Auster,23
198,454,Travels in the Scriptorium,Paul Auster,15
199,456,Leviathan,Paul Auster,19
200,463,The Red Notebook: True Stories,Paul Auster,7
201,466,Timbuktu / Leviathan / Moon Palace,Paul Auster,23
202,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,11
203,476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,7
204,477,Collapse of Complex Societies,Joseph A. Tainter,23
205,478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,19
206,481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,15
207,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,19
208,493,My Inventions,Nikola Tesla,15
209,494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,15
210,497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,11
211,498,Tesla Papers,Nikola Tesla/David Hatcher Childress,19
212,511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,19
213,515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,11
214,523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,15
215,524,Lord of the Flies,William Golding,15
216,531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,11
217,534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,15
218,537,The Lovely Bones,Alice Sebold,7
219,538,The Lovely Bones,Alice Sebold,19
220,539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,23
221,565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,19
222,570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,23
223,576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,7
224,597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,15
225,599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,15
226,619,Vice (V  #8),Jane Feather,19
227,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,7
228,639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,11
229,642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,11
230,643,Motorcycle Basics Techbook,John Harold Haynes,15
231,650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,11
232,655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,7
233,656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,23
234,658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,7
235,662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,23
236,663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,11
237,664,The Fountainhead,Ayn Rand,7
238,665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,23
239,667,Anthem,Ayn Rand,7
240,668,We the Living,Ayn Rand/Leonard Peikoff,19
241,669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,19
242,670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,11
243,672,Sailing for Dummies,J.J. Isler/Peter Isler,7
244,675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,11
245,676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,15
246,678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,15
247,681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,11
248,685,The Natural,Bernard Malamud/Kevin Baker,7
249,698,Digging to America,Anne Tyler,23
250,700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,7
251,702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,11
252,703,The Plot Against America,Philip Roth,19
253,707,Naked Pictures of Famous People,Jon   Stewart,23
254,759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,19
255,762,Crónica de una muerte anunciada,Gabriel García Márquez,7
256,763,Cien años de soledad,Gabriel García Márquez,23
257,764,Del amor y otros demonios,Gabriel García Márquez,7
258,765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,19
259,766,Memoria de mis putas tristes,Gabriel García Márquez,23
260,771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,15
261,775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,7
262,787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,11
263,793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,19
264,797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,7
265,799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,11
266,815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,11
267,816,Cryptonomicon,Neal Stephenson,11
268,821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,7
269,822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,11
270,823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,19
271,824,The Cobweb,Neal Stephenson/J. Frederick George,23
272,826,The Big U,Neal Stephenson,19
273,827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,19
274,828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,19
275,829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,23
276,830,Snow Crash,Neal Stephenson/Guy Abadia,15
277,834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,7
278,835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,11
279,840,The Design of Everyday Things,Donald A. Norman,11
280,841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,11
281,842,The Psychology of Everyday Things,Donald A. Norman,19
282,848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,19
283,864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,15
284,865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,15
285,866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,19
286,868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,23
287,869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,19
288,870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,23
289,871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,23
290,872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,11
291,873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,11
292,880,Pompeii,Robert   Harris,19
293,888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,11
294,890,Of Mice and Men,John Steinbeck,19
295,900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,7
296,902,The Westing Game,Ellen Raskin,23
297,903,The Egypt Game,Zilpha Keatley Snyder,19
298,929,Memoirs of a Geisha,Arthur Golden,11
299,930,Memoirs of a Geisha,Arthur Golden,15
300,931,Memoirs of a Geisha,Arthur Golden,7
301,932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,11
302,933,Memoirs of a Geisha,Arthur Golden,7
303,935,Geisha of Gion,Mineko Iwasaki/Rande Brown,7
304,941,Love As A Foreign Language #5,J. Torres/Eric  Kim,11
305,944,Jungle Love,Margaret Johnson/Philip Prowse,19
306,955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,19
307,960,Angels & Demons (Robert Langdon  #1),Dan Brown,19
308,965,Ángeles y demonios (Robert Langdon  #1),Dan Brown,7
309,966,Angeles & Demonios,Dan Brown/Raúl Amundaray,19
310,968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,15
311,969,The Da Vinci Code,Dan Brown,7
312,972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,23
313,975,Deception Point,Dan Brown,19
314,977,Deception Point,Dan Brown,23
315,980,Deception Point,Dan Brown,15
316,987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,19
317,998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,7
318,1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,15
319,1007,Think and Grow Rich,Napoleon Hill,23
320,1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,23
321,1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,19
322,1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,15
323,1052,The Richest Man in Babylon,George S. Clason,23
324,1053,The Richest Man in Babylon,George S. Clason,23
325,1059,Shibumi,Trevanian/Gisela Stege,11
326,1067,1776,David McCullough,7
327,1068,1776,Peter  Stone/Sherman Edwards,11
328,1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,19
329,1078,The Good Earth (House of Earth  #1),Pearl S. Buck,19
330,1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,15
331,1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,23
332,1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,11
333,1103,Snow Flower and the Secret Fan,Lisa See,23
334,1110,The Broker,John Grisham,15
335,1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,23
336,1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,15
337,1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,11
338,1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,7
339,1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,15
340,1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,7
341,1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,11
342,1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,15
343,1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,7
344,1169,Monkey Business,Sarah Mlynowski,15
345,1171,Liar's Poker,Michael   Lewis,15
346,1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,7
347,1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,23
348,1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,7
349,1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,15
350,1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,23
351,1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,11
352,1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,11
353,1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,23
354,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,19
355,1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,11
356,1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,7
357,1218,The Last Assassin (John Rain  #5),Barry Eisler,11
358,1226,Life of Pi,Yann Martel,19
359,1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,15
360,1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,11
361,1241,A Million Little Pieces,James Frey,15
362,1242,A Million Little Pieces of Feces,Python Bonkers,19
363,1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,11
364,1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,11
365,1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,15
366,1255,Leadership in Organizations,Gary Yukl,11
